kabupaten,bulan,tahun,alokasi_urea,distribusi_urea,alokasi_NPK,distribusi_NPK,curah_hujan,suhu,luas_panen_padi,produksi_padi_ton,luas_panen_jagung,produksi_jagung_ton,luas_panen_kedelai,produksi_kedelai_ton,bulan_num,rasio_realisasi_urea,rasio_realisasi_NPK,produktivitas_padi,produktivitas_jagung,produktivitas_kedelai,luas_panen_total,produksi_total_ton,tipe_wilayah_encoded,kuartal,kabupaten_encoded
Blitar,Januari,2023,31352,2214.4,25370,1623.3,7.64,25.01,8360,48655,3097,19447,17.47,30.27,1,0.07063026282214852,0.0639850216791486,5.819976076555024,6.279302550855666,1.7326846021751574,11474.47,68132.27,0,1,68543.33291666667
Blitar,Februari,2023,31352,6077.2,25370,4925.4,13.03,24.86,8360,48571,5236,33304,17.17,29.75,2,0.19383771370247513,0.19414268821442648,5.809928229665072,6.360580595874714,1.7326732673267324,13613.17,81904.75,0,1,68543.33291666667
Blitar,Maret,2023,31352,8866.4,25370,7470.4,9.81,25.1,10260,59508,4291,26735,25.27,44.54,3,0.2828017351365144,0.2944580212849823,5.8,6.230482405033792,1.7625643055005935,14576.27,86287.54,0,1,68543.33291666667
Blitar,April,2023,31352,10672.5,25370,9089.0,6.9,25.21,10260,59405,2724,17349,42.64,75.15,4,0.3404089053329931,0.35825778478517933,5.789961013645224,6.368942731277533,1.7624296435272047,13026.64,76829.15,0,2,68543.33291666667
Blitar,Mei,2023,31352,14645.3,25370,12262.4,3.88,24.91,6460,37338,3076,19501,95.26,167.9,5,0.46712490431232456,0.48334253054789117,5.779876160990712,6.3397269180754225,1.7625446147386101,9631.26,57006.9,0,2,68543.33291666667
Blitar,Juni,2023,31352,16537.2,25370,13552.6,1.1,25.17,6460,37274,3794,23786,174.76,308.01,6,0.5274687420260271,0.5341978715017738,5.769969040247678,6.269372693726937,1.7624742504005493,10428.76,61368.01,0,2,68543.33291666667
Blitar,Juli,2023,31352,18666.9,25370,15047.1,1.83,24.12,6460,37209,2996,18726,251.86,461.53,7,0.5953974228119419,0.5931060307449744,5.759907120743034,6.250333778371162,1.8324863019137614,9707.86,56396.53,0,3,68543.33291666667
Blitar,Agustus,2023,31352,20379.9,25370,16330.6,0.31,24.1,6460,37145,2704,16764,299.6,549.02,8,0.6500350854809901,0.6436972802522665,5.75,6.199704142011834,1.8325100133511347,9463.6,54458.02,0,3,68543.33291666667
Blitar,September,2023,31352,22738.7,25370,18161.5,0.35,24.79,10260,58892,3113,19703,403.21,738.87,9,0.7252711150803777,0.7158651951123374,5.739961013645225,6.329264375200771,1.8324694328017659,13776.21,79333.87,0,3,68543.33291666667
Blitar,Oktober,2023,31352,25314.3,25370,20416.0,1.08,26.46,10260,58789,2724,17270,252.95,463.52,10,0.8074221740239856,0.8047299960583366,5.729922027290448,6.339941262848752,1.8324570073136983,13236.95,76522.52,0,4,68543.33291666667
