kabupaten,bulan,tahun,alokasi_urea,distribusi_urea,alokasi_NPK,distribusi_NPK,curah_hujan,suhu,luas_panen_padi,produksi_padi_ton,luas_panen_jagung,produksi_jagung_ton,luas_panen_kedelai,produksi_kedelai_ton,bulan_num,rasio_realisasi_urea,rasio_realisasi_NPK,produktivitas_padi,produktivitas_jagung,produktivitas_kedelai,luas_panen_total,produksi_total_ton,tipe_wilayah_encoded,kuartal,kabupaten_encoded
Lamongan,Februari,2024,0.9278077511414433,4596.2,0.5063227674313832,2490.2,1.8189936110068492,0.1235013653627247,7078,42043,5085,32442,15.9,26.66,2,0.10754867090977162,0.09999598441954784,1.7508350198751872,1.7481062824969544,0.2172703218884292,1.659072400491165,2.0466086969733692,0,1,1.3308180381867118
Lamongan,Maret,2024,0.9278077511414433,8952.1,0.5063227674313832,4846.3,1.033328811254999,0.2539462692707966,8687,51513,4081,25590,24.35,41.55,3,0.2094744477723699,0.1946070754527567,1.7143231775059826,1.434057409531704,0.488225428200377,1.9046340684869503,2.227170054892978,0,1,1.3308180381867118
Lamongan,April,2024,2.5002019019357875,14397.8,2.4911996714387654,7824.2,0.5680849090977973,0.49111882183092387,8687,51427,2510,15640,41.35,70.57,4,0.1969953616922298,0.14691953807154257,1.678390953779494,1.3208409016567515,0.49083149774877977,1.2825738646146705,1.5408998736570112,0,2,1.3308180381867118
Lamongan,Mei,2024,2.5002019019357875,22974.0,2.4911996714387654,13009.0,-0.7298912692940839,1.07812088941724,5469,32321,2933,18390,89.84,153.31,5,0.3143377071161766,0.2442775326260445,1.6415876486195387,1.432647462231858,0.4892556406625356,0.18315650905659125,0.42489353712990563,0,2,1.3308180381867118
Lamongan,Juni,2024,2.5002019019357875,30328.3,2.4911996714387654,17975.7,-0.5723962518323075,0.6867861776930285,5469,32267,3673,23066,158.19,269.95,6,0.4149616210817245,0.33754013707633085,1.6057498518928535,1.4609170417754909,0.4893837264890397,0.5067358950283786,0.7498654399029702,0,2,1.3308180381867118
Lamongan,Juli,2024,2.5002019019357875,36045.0,2.4911996714387654,22640.1,-0.8638525485144454,0.5919171566689773,5469,32212,2902,18165,222.16,394.66,7,0.4931793615827712,0.4251262792226082,1.5692483922638238,1.4023545997797264,1.1291522131752485,0.22371451411215057,0.41853967889380356,0,3,1.3308180381867118
Lamongan,Agustus,2024,2.5002019019357875,40237.8,2.4911996714387654,26488.8,-0.9326434756816581,1.001039809835199,5469,32157,2523,15947,266.64,473.68,8,0.5505466088360448,0.4973955497136419,1.5327469326347942,1.5779324171852753,1.1292458068737667,0.08980744886160019,0.2680783956467012,0,3,1.3308180381867118
Lamongan,September,2024,2.5002019019357875,45915.1,2.4911996714387654,32024.2,-0.686444367925318,1.3805158939314042,8687,50992,3001,18698,371.34,659.68,9,0.62822526577914,0.6013369636653836,1.4966407523722602,1.319446314760059,1.1293145065176946,1.6112129938148654,1.7611836467683646,0,3,1.3308180381867118
Lamongan,Oktober,2024,2.609255629569872,54022.0,2.5962122051581176,39292.1,-0.5796374020604351,1.7659212918416116,8687,50905,2616,16428,240.94,428.02,10,0.7184540908607299,0.7175983928408364,1.4602907120908135,1.4607342330309976,1.1290741205481172,1.4049003624919743,1.5836555446478158,0,4,1.3308180381867118
Lamongan,November,2024,2.609255629569872,62786.7,2.5962122051581176,46633.8,0.8197148795252333,0.7282913743910512,7078,41406,2184,13626,81.67,139.36,11,0.8350183530162782,0.8516811250114146,1.424183758638035,1.3436163593506043,0.48835185808947756,0.5241407712602747,0.7202673646075635,0,4,1.3308180381867118
Lamongan,Desember,2024,2.609255629569872,69532.4,2.5962122051581176,52494.6,2.7386196899790605,-0.03066079380135739,7078,41335,2198,13916,8.23,13.79,12,0.9247313543994041,0.9587179253036252,1.3877752193164705,1.6082416660390781,0.20673414710946722,0.5003471686102305,0.72667471458057,0,4,1.3308180381867118
Lumajang,Januari,2023,0.13956429938249143,3745.8,0.06478006731941374,2296.7,0.25309487417424464,-0.7481077652957454,3806,22607,1352,7623,6.2,10.54,1,0.13610697285709095,0.12350505485050547,1.7503887819771555,-0.3804737056030743,0.43002699177839604,-1.1488849432043824,-0.9894670767285104,0,1,-1.1448161878568661
Lumajang,Februari,2023,0.13956429938249143,6221.4,0.06478006731941374,4256.6,0.8142840168541376,-0.9615630625998604,3806,22569,2316,13086,6.22,10.57,2,0.22606009956033574,0.2288986878898688,1.714150276540649,-0.34618847984560497,0.42414738623177384,-0.7629914568871654,-0.6174231312713839,0,1,-1.1448161878568661
Lumajang,Maret,2023,0.13956429938249143,8347.5,0.06478006731941374,5826.2,0.19697595990625527,-0.5880162923176592,4671,27652,1887,10754,9.5,16.42,3,0.30331383307292614,0.3133039363303936,1.6781590123693013,-0.20631458841073014,0.6898746116468608,-0.5871493678543372,-0.42836070193302467,0,1,-1.1448161878568661
Lumajang,April,2023,0.13956429938249143,10842.8,0.06478006731941374,7439.9,0.8088531541830417,-0.6058042337596695,4671,27605,1162,6575,16.43,28.4,4,0.3939827767886341,0.40008066250806623,1.6416379454868968,-0.32297297899812955,0.6910109800392424,-0.874590018172592,-0.7173546110976264,0,2,-1.1448161878568661
Lumajang,Mei,2023,0.13956429938249143,14300.8,0.06478006731941374,9662.2,-0.031120272279765687,-0.7481077652957454,2941,17351,1312,7515,36.52,63.12,5,0.5196322808037498,0.5195848569584858,1.6047055023817836,-0.12335805388672161,0.689389722980518,-1.4990159722410654,-1.353719744968113,0,2,-1.1448161878568661
Lumajang,Juni,2023,0.13956429938249143,15959.3,0.06478006731941374,10562.9,-0.32257656896190356,-0.8963406106458255,2941,17322,1638,9419,64.97,112.31,6,0.5798953526398023,0.5680200043020004,1.5689157710064108,-0.059041180838231594,0.6919128761731601,-1.3571310048906604,-1.2217604305663219,0,2,-1.1448161878568661
Lumajang,Juli,2023,0.13956429938249143,17718.7,0.06478006731941374,11642.9,0.30559321332817013,-1.64343415121023,2941,17293,1294,7416,90.41,162.62,7,0.6438247156716689,0.626097010109701,1.5331260396310347,-0.11425934449929469,1.3323728059017008,-1.484649343723063,-1.3576630460860397,0,3,-1.1448161878568661
Lumajang,Agustus,2023,0.13956429938249143,19824.9,0.06478006731941374,12938.2,-0.44748641039710557,-1.7501617998622874,2941,17263,1142,6569,106.29,191.18,8,0.7203553649940047,0.6957517745751775,1.4961021795875447,-0.05363413426639264,1.3320911872473025,-1.5391376545024031,-1.4158483400076667,0,3,-1.1448161878568661
Lumajang,September,2023,0.13956429938249143,21720.8,0.06478006731941374,14215.5,-0.17775356439935053,-1.5189185611161622,4671,27372,1323,7529,146.04,262.67,9,0.7892445768685731,0.7644385889438589,1.460586699027308,-0.22967469380251873,1.3316595100834554,-0.7582599564947778,-0.6518430065946416,0,3,-1.1448161878568661
Lumajang,Oktober,2023,0.13956429938249143,23252.3,0.06478006731941374,15400.5,-0.396798358800212,-0.41606619171156684,4671,27325,1186,6770,95.06,170.98,10,0.8448929908070201,0.828161970316197,1.4240656321449003,-0.1797084408005264,1.3319947276216881,-0.8335076251716832,-0.7134058236477097,0,4,-1.1448161878568661
Lumajang,November,2023,0.13956429938249143,24752.1,0.06478006731941374,16641.7,-0.2411136288954675,-0.11960050101140669,3806,22227,1025,5835,32.67,56.48,11,0.8993895570655136,0.8949075069907507,1.3880037276120796,-0.2244257468571156,0.6933683512557866,-1.269185942605757,-1.13499614751646,0,4,-1.1448161878568661
Lumajang,Desember,2023,0.13956429938249143,25987.1,0.06478006731941374,17581.7,0.24042286127502122,-0.23818677729147034,3806,22188,1002,5613,3.33,5.66,12,0.9442643799280549,0.9454560120456013,1.350811577295663,-0.48528346139365797,0.42728141020932997,-1.2901374426512366,-1.1563804980311008,0,4,-1.1448161878568661
Lumajang,Januari,2024,-0.36374067162232077,1251.2,-0.2807111686172549,804.9,1.0369493863690626,-0.34491442594352784,3863,22984,1321,7463,4.56,7.79,1,0.07026844883747052,0.058919552009369734,1.7864962013584638,-0.3483443016667494,0.5062168803200783,-1.1391337291977357,-0.974773993867367,0,1,-1.1448161878568661
Lumajang,Februari,2024,-0.36374067162232077,3728.5,-0.2807111686172549,2414.6,0.8722132186791586,-0.3508437397575319,3863,22946,2194,12398,4.6,7.86,2,0.20939570931146803,0.1767513359197716,1.7507924085312963,-0.3444464988892015,0.5095294841697162,-0.7896591858330928,-0.6389370963792921,0,1,-1.1448161878568661
Lumajang,Maret,2024,-0.36374067162232077,5304.3,-0.2807111686172549,3574.2,0.6694610122915845,-0.2322574634774662,4741,28114,1757,10032,6.97,12.12,3,0.29789396832528364,0.2616353122026206,1.7146038663327172,-0.17549096161712782,0.7855069308566447,-0.6121798855815789,-0.4464861712455109,0,1,-1.1448161878568661
